sid,isb,search,title,dizhi,lng,lat,name,district,fLng,fLat,followerCount,_id,fAddress
,,,,,,,新德西路90号,浦东,121.683885,31.20067,,6019187d7e3a052fd496d349,新德西路90号
,,,,,,,皇冠小区,浦东,121.749827,31.178464,,6019187e7e3a052fd496d34c,新建路82弄13-27号
,,,,,,,南桥路1268号,浦东,121.693325,31.191869,1,601918807e3a052fd496d350,南桥路1268号
,,,,,,,城南路674号,浦东,121.700895,31.19623,,601918807e3a052fd496d352,城南路674号
,,,,,,,乐丰路17-19号,浦东,121.674713,31.172181,,601918817e3a052fd496d354,乐丰路17-19号
,,,,,,,西市街38弄3号,浦东,121.706336,31.205416,,601918817e3a052fd496d356,西市街38弄3号
,,,,,,,进贤路147号,浦东,121.698839,31.198354,,601918817e3a052fd496d358,进贤路147号
,,,,,,,新川路945弄14号,浦东,121.694685,31.195159,1,601918827e3a052fd496d35a,新川路945弄14号
,,,,,,,城南路773号,浦东,121.698536,31.19507,,601918847e3a052fd496d362,城南路773号
,,,,,,,新源路328弄13号,浦东,121.700691,31.200075,,601918847e3a052fd496d364,新源路328弄13号
,,,,,,,硕川路149号,浦东,121.692473,31.206775,,601918857e3a052fd496d366,硕川路149号
,,,,,,,硕川路141号,浦东,121.693317,31.206686,,601918857e3a052fd496d368,硕川路141号
,,,,,,,硕川路145号,浦东,121.692509,31.206663,,601918867e3a052fd496d36a,硕川路145号
,,,,,,,硕川路133号,浦东,121.691686,31.206483,,601918867e3a052fd496d36c,硕川路133号
,,,,,,,乔港路29号,浦东,121.704953,31.194803,,601918877e3a052fd496d36f,乔港路29号
,,,,,,,川银路136号,浦东,121.694601,31.19902,,601918887e3a052fd496d371,川银路136号
,,,,,,,华夏东路1520弄15号,浦东,121.750415,31.208292,,601918897e3a052fd496d375,华夏东路1520弄15号
,,,,,,,民贤路48号,浦东,121.699863,31.201945,,601918897e3a052fd496d377,民贤路48号
,,,,,,,华夏东路1841号,浦东,121.692318,31.205728,,6019188a7e3a052fd496d379,华夏东路1841号
,,,,,,,绣川路504号,浦东,121.705047,31.187677,1,6019188a7e3a052fd496d37b,绣川路504号
,,,,,,,华夏东路1520弄8号,浦东,121.686588,31.203737,,6019188c7e3a052fd496d37d,华夏东路1520弄8号
,,,,,,,中市街24号,浦东,121.7125,31.202757,,6019188c7e3a052fd496d380,中市街24号
,,,,,,,城南路771号,浦东,121.698751,31.195123,,6019188d7e3a052fd496d382,城南路771号
,,,,,,,南奉公路2873弄,浦东,121.758881,31.164662,,6019188d7e3a052fd496d386,南奉公路2873弄
,,,,,,,新建路39弄,浦东,121.752066,31.179099,,6019188e7e3a052fd496d38b,新建路39弄
,,,,,,,普庆路356弄,浦东,121.730126,31.160962,,6019188f7e3a052fd496d38d,普庆路356弄
,,,,,,,西市街151号,浦东,121.703848,31.202099,,601918907e3a052fd496d38f,西市街151号
,,,,,,,北市街296号,浦东,121.709127,31.205363,,601918917e3a052fd496d391,北市街296号
,,,,,,,妙境路1328弄21号,浦东,121.700493,31.183368,,601918917e3a052fd496d393,妙境路1328弄21号
,,,,,,,川银路94号,浦东,121.693833,31.198647,,601918917e3a052fd496d396,川银路94号
,,,,,,,川银路116号,浦东,121.694051,31.198844,,601918937e3a052fd496d39a,川银路116号
,,,,,,,晚霞路700号,浦东,121.76008356781,31.184278015804,,601918947e3a052fd496d39c,晚霞路700号
,,,,,,,进贤路192号,浦东,121.698669,31.198806,,601918947e3a052fd496d39e,进贤路192号
,,,,,,,新德路835弄20号,浦东,121.6947267836,31.201975759345,,601918957e3a052fd496d3a0,新德路835弄20号
,,,,,,,翔川路392-396号,浦东,121.69990329875,31.188503613803,,601918967e3a052fd496d3a2,翔川路392-396号
,,,,,,,川沙路5558弄1号,浦东,121.70440584581,31.190206871385,,601918967e3a052fd496d3a4,川沙路5558弄1号
,,,,,,,新德路370弄17号,浦东,121.70422236511,31.204487398376,,601918967e3a052fd496d3a6,新德路370弄17号
,,,,,,,城南路168弄11号,浦东,121.69793211732,31.195006532741,,601918977e3a052fd496d3ad,城南路168弄11号
,,,,,,,荣川路134-184号(双),浦东,121.67618276143,31.199152079659,,601918997e3a052fd496d3b0,"荣川路140号, 荣川路142号, 荣川路134号, 荣川路136号, 荣川路138号, 荣川路144号, 荣川路146号, 荣川路148号, 荣川路150号, 荣川路152号, 荣川路154号, 荣川路160号, 荣川路162号, 荣川路164号, 荣川路166号, 荣川路170号, 荣川路172号, 荣川路174号, 荣川路176号, 荣川路178号, 荣川路180号, 荣川路182号, 荣川路184号"
,,,,,,,学北路365弄14号,浦东,121.71855212652,31.197938720497,,601918997e3a052fd496d3b2,学北路365弄14号
,,,,,,,硕川路137号,浦东,121.69187022867,31.206380110661,,6019189a7e3a052fd496d3b4,硕川路137号
,,,,,,,华夏东路2538号,浦东,121.70782899796,31.206029250358,,6019189a7e3a052fd496d3b6,华夏东路2538号
,,,,,,,学北路365弄13号,浦东,121.71855212652,31.197938720497,,6019189a7e3a052fd496d3b8,学北路365弄13号
,,,,,,,华夏东路2534号,浦东,121.70769841578,31.20602147965,,6019189b7e3a052fd496d3ba,华夏东路2534号
,,,,,,,华夏东路1520弄1号,浦东,121.68540328688,31.203143566025,,6019189d7e3a052fd496d3bf,华夏东路1520弄1号
,,,,,,,港洪路542号,浦东,121.76153394064,31.183068497633,,6019189d7e3a052fd496d3c1,港洪路542号
,,,,,,,民贤路106号,浦东,121.70038490728,31.200860294375,,6019189d7e3a052fd496d3c3,民贤路106号
,,,,,,,妙镜路128-160号,浦东,121.69587680639,31.203717803458,,6019189e7e3a052fd496d3c5,妙镜路128-160号
,,,,,,,妙境路392-394号,浦东,121.69652253225,31.199573249601,,6019189f7e3a052fd496d3c7,妙境路392-394号
,,,,,,,学北路345号,浦东,121.718057,31.197193,,601918a07e3a052fd496d3c9,学北路345号
,,,,,,,北市街93弄,浦东,121.71028,31.202261,,601918a17e3a052fd496d3cc,北市街93弄
,,,,,,,福运庄园,浦东,121.715528,31.196302,,601918a17e3a052fd496d3d0,曙光路8号
,,,,,,,农科路21弄,浦东,121.717612,31.151243,,601918a27e3a052fd496d3d5,农科路21弄
,,,,,,,绿地东海岸时代广场,浦东,121.7632618,31.15359776,,601918a37e3a052fd496d3d7,施新路802弄
,,,,,,,东方现代商业广场,浦东,121.75874,31.18184057,,601918a47e3a052fd496d3d9,晨阳路225弄
,,,,,,,民贤路42号,浦东,121.69980301733,31.202185316583,,601918a47e3a052fd496d3db,民贤路42号
,,,,,,,地纬生活广场,浦东,121.68274,31.200831,,601918a47e3a052fd496d3dd,新德西路100弄
,,,,,,,川沙路4629弄,浦东,121.70452702458,31.204939980513,,601918a47e3a052fd496d3df,川沙路4629弄65号
,,,,,,,万家新天地商都,浦东,121.6766806218,31.19852654919,1,601918a77e3a052fd496d3e4,"德川路369号, 德川路369弄, 德川路349号, 德川路343号, 德川路357号, 德川路359号, 德川路361号, 德川路363号, 德川路367号, 德川路345号, 德川路347号, 德川路351号, 德川路353号, 德川路355号, 德川路365号, 德川路142号, 德川路146号, 德川路393号, 德川路375号, 德川路377号, 德川路379号, 德川路381号, 德川路383号, 德川路385号, 德川路389号, 德川路387号, 德川路391号, 新德西路358号, 新德西路360号, 新德西路362.366号, 新德西路368.370号"
,,,,,,,新建路49号,浦东,121.75165814876,31.179018760292,,601918a77e3a052fd496d3e6,上海市浦东新区新建路49号
,,,,,,,川黄路165弄,浦东,121.71159022379,31.197909030851,1,601918a87e3a052fd496d3e8,"川黄路165弄,（川黄路61号）"
,,,,,,,川沙恒越生活广场餐饮,浦东,121.699736,31.189616,,601918a87e3a052fd496d3ea,妙境路1111弄19号219室
,,,,,,,西市街85弄,浦东,121.70775520602,31.202569558417,1,601918a87e3a052fd496d3ec,西市街85弄
,,,,,,,华夏东路1455号,浦东,121.68473246279,31.204404298557,1,601918a87e3a052fd496d3ee,华夏东路1455号
,,,,,,,黄楼芙蓉路42弄,浦东,121.6749602895,31.170486526514,2,601918ab7e3a052fd496d3f1,"黄楼芙蓉路42弄, 芙蓉路38弄（原）"
,,,,,,,乔港路15号,浦东,121.713302,31.198198,1,601918ab7e3a052fd496d3f3,乔港路15号
,,,,,,,青厦路200弄3号,浦东,121.690796,31.203279,1,601918ab7e3a052fd496d3f7,青厦路200弄3号
,,,,,,,川黄路116号,浦东,121.711016,31.198705,1,601918ac7e3a052fd496d3fc,川黄路116号
,,,,,,,"普庆路95,97号",浦东,121.725937,31.160608,1,601918ac7e3a052fd496d3fe,"普庆路95, 97号"
,,,,,,,华夏东路2433弄,浦东,121.705941,31.207691,1,601918ae7e3a052fd496d404,华夏东路2433弄
,,,,,,,南桥路388弄,浦东,121.710394,31.197149,1,601918af7e3a052fd496d406,南桥路388弄
,,,,,,,东亭路495号,浦东,121.75876697083,31.182702108285,1,601918af7e3a052fd496d408,东亭路495号
,,,,,,,乔港路43号,浦东,121.711955,31.201999,1,601918af7e3a052fd496d40b,乔港路43号
,,,,,,,华夏东路1478号,浦东,121.6850236,31.20338317,1,601918b07e3a052fd496d40d,华夏东路1478号
,,,,,,,川六公路1789弄,浦东,121.7341444,31.16126821,1,601918b27e3a052fd496d411,川六公路1789弄
,,,,,,,绿地东海岸国际广场,浦东,121.7065747,31.18928888,1,601918b27e3a052fd496d413,川沙路5558弄
,,,,,,,城丰路300号,浦东,121.69090863934,31.195542121318,2,601918b27e3a052fd496d415,城丰路300号
,,,,,,,恒越生活广场,浦东,121.7006756,31.18869844,2,601918b37e3a052fd496d417,"妙境路1111弄, 翔川路417号, 妙境路1075号"
,,,,,,,南桥路677号,浦东,121.703481,31.195207,5,601918b47e3a052fd496d419,川沙镇南桥路677号
,,,,,,,普园路34弄,浦东,121.733261,31.160475,3,601918b57e3a052fd496d41e,普园路34弄
